"id","report_type","code","note","close_method","name"
"marcos_l10n_do.default_chart_a_type_9","Pérdidas y ganancias (cuenta de gastos)","expense","","Ninguno","Costo"
"marcos_l10n_do.default_chart_a_type_11","Pérdidas y ganancias (cuenta de gastos)","expense","","Ninguno","Vista de costo"
